; obj_domain, min_value, max_value, bmp_width, bmp_height, <obj_design[]>, orientation, ends, obj_flag, obj_descript | enemyhandle_x enemyhandle_y
0,$00,$00,1,1,<0>,9,0,0,White Mario Finished Stage
0,$01,$01,1,1,<1>,9,0,0,White Luigi Finished Stage
0,$02,$02,1,1,<2>,9,0,0,Black Square
0,$03,$03,1,1,<3>,9,0,0,Level 1
0,$04,$04,1,1,<4>,9,0,0,Level 2
0,$05,$05,1,1,<5>,9,0,0,Level 3
0,$06,$06,1,1,<6>,9,0,0,Level 4
0,$07,$07,1,1,<7>,9,0,0,Level 5
0,$08,$08,1,1,<8>,9,0,0,Level 6
0,$09,$09,1,1,<9>,9,0,0,Level 7
0,$0A,$0A,1,1,<10>,9,0,0,Level 8
0,$0B,$0B,1,1,<11>,9,0,0,Level 9
0,$0C,$0C,1,1,<12>,9,0,0,Level 10
0,$0D,$0D,1,1,<161>,9,0,0,Weird Level 1
0,$0E,$0E,1,1,<162>,9,0,0,Weird Level 2
0,$0F,$0F,1,1,<163>,9,0,0,Weird Level 3
0,$10,$10,1,1,<164>,9,0,0,Weird Level 4
0,$11,$11,1,1,<165>,9,0,0,Weird Level 5
0,$12,$12,1,1,<166>,9,0,0,Weird Level 6
0,$13,$13,1,1,<167>,9,0,0,Weird Level 7
0,$14,$14,1,1,<168>,9,0,0,Weird Level 8
0,$15,$15,1,1,<169>,9,0,0,Weird Level 9
0,$16,$16,1,1,<122>,9,0,0,Blank Square
0,$17,$17,1,1,<122>,9,0,0,Blank Square
0,$18,$18,1,1,<122>,9,0,0,Blank Square
0,$19,$19,1,1,<122>,9,0,0,Blank Square
0,$1A,$1A,1,1,<122>,9,0,0,Blank Square
0,$1B,$1B,1,1,<122>,9,0,0,Blank Square
0,$1C,$1C,1,1,<122>,9,0,0,Blank Square
0,$1D,$1D,1,1,<122>,9,0,0,Blank Square
0,$1E,$1E,1,1,<122>,9,0,0,Blank Square
0,$1F,$1F,1,1,<122>,9,0,0,Blank Square
0,$20,$20,1,1,<122>,9,0,0,Blank Square
0,$21,$21,1,1,<122>,9,0,0,Blank Square
0,$22,$22,1,1,<122>,9,0,0,Blank Square
0,$23,$23,1,1,<122>,9,0,0,Blank Square
0,$24,$24,1,1,<122>,9,0,0,Blank Square
0,$25,$25,1,1,<122>,9,0,0,Blank Square
0,$26,$26,1,1,<122>,9,0,0,Blank Square
0,$27,$27,1,1,<122>,9,0,0,Blank Square
0,$28,$28,1,1,<122>,9,0,0,Blank Square
0,$29,$29,1,1,<122>,9,0,0,Blank Square
0,$2A,$2A,1,1,<122>,9,0,0,Blank Square
0,$2B,$2B,1,1,<122>,9,0,0,Blank Square
0,$2C,$2C,1,1,<122>,9,0,0,Blank Square
0,$2D,$2D,1,1,<122>,9,0,0,Blank Square
0,$2E,$2E,1,1,<122>,9,0,0,Blank Square
0,$2F,$2F,1,1,<122>,9,0,0,Blank Square
0,$30,$30,1,1,<122>,9,0,0,Blank Square
0,$31,$31,1,1,<122>,9,0,0,Blank Square
0,$32,$32,1,1,<122>,9,0,0,Blank Square
0,$33,$33,1,1,<122>,9,0,0,Blank Square
0,$34,$34,1,1,<122>,9,0,0,Blank Square
0,$35,$35,1,1,<122>,9,0,0,Blank Square
0,$36,$36,1,1,<122>,9,0,0,Blank Square
0,$37,$37,1,1,<122>,9,0,0,Blank Square
0,$38,$38,1,1,<122>,9,0,0,Blank Square
0,$39,$39,1,1,<122>,9,0,0,Blank Square
0,$3A,$3A,1,1,<122>,9,0,0,Blank Square
0,$3B,$3B,1,1,<122>,9,0,0,Blank Square
0,$3C,$3C,1,1,<122>,9,0,0,Blank Square
0,$3D,$3D,1,1,<122>,9,0,0,Blank Square
0,$3E,$3E,1,1,<122>,9,0,0,Blank Square
0,$3F,$3F,1,1,<122>,9,0,0,Blank Square
0,$40,$40,1,1,<13>,9,0,0,Yellow Mario Finished Stage
0,$41,$41,1,1,<16>,9,0,0,Yellow Luigi Finished Stage
0,$42,$42,1,1,<121>,9,0,0,Barren Ground
0,$43,$43,1,1,<18>,9,0,0,Desert Sand
0,$44,$44,1,1,<19>,9,0,0,W. Road Connector A
0,$45,$45,1,1,<20>,9,0,0,E.-W. Road A
0,$46,$46,1,1,<21>,9,0,0,N.-S. Road A
0,$47,$47,1,1,<22>,9,0,0,E. Road Connector A
0,$48,$48,1,1,<23>,9,0,0,S. Road Connector A
0,$49,$49,1,1,<24>,9,0,0,E.-W. Road C
0,$4A,$4A,1,1,<25>,9,0,0,S. E. Road Connector A
0,$4B,$4B,1,1,<26>,9,0,0,Boat Dock
0,$4C,$4C,1,1,<170>,9,0,0,Weird
0,$4D,$4D,1,1,<170>,9,0,0,Weird
0,$4E,$4E,1,1,<27>,9,0,0,Weird Line
0,$4F,$4F,1,1,<28>,9,0,0,Weird Line
0,$50,$50,1,1,<29>,9,0,0,Mushroom House A
0,$51,$51,1,1,<32>,9,0,0,Rock A
0,$52,$52,1,1,<33>,9,0,0,Rock B
0,$53,$53,1,1,<34>,9,0,0,Rock C
0,$54,$54,1,1,<35>,9,0,0,Locked Door A
0,$55,$55,1,1,<145>,9,0,0,Star A
0,$56,$56,1,1,<36>,9,0,0,Locked Door B
0,$57,$57,1,1,<30>,9,0,0,World 5 - SE Road view from clouds A
0,$58,$58,1,1,<31>,9,0,0,World 5 - SW Road view from clouds
0,$59,$59,1,1,<46>,9,0,0,World 5 - E-W Road view from clouds
0,$5A,$5A,1,1,<47>,9,0,0,World 5 - Tower view from clouds
0,$5B,$5B,1,1,<62>,9,0,0,World 5 - E-W Road Connector view from clouds
0,$5C,$5C,1,1,<63>,9,0,0,World 5 - SE Road view from clouds B
0,$5D,$5D,1,1,<78>,9,0,0,World 5 - Hills view from clouds A
0,$5E,$5E,1,1,<79>,9,0,0,World 5 - Hills view from clouds B
0,$5F,$5F,1,1,<14>,9,0,0,World 5 - Tower
0,$60,$60,1,1,<15>,9,0,0,Destroyed Dungeon A
0,$61,$61,1,1,<94>,9,0,0,World 8 - Castle Top
0,$62,$62,1,1,<110>,9,0,0,World 8 - Castle Columns
0,$63,$63,1,1,<111>,9,0,0,World 8 - Clouds A
0,$64,$64,1,1,<95>,9,0,0,World 8 - Castle Wall
0,$65,$65,1,1,<111>,9,0,0,World 8 - Clouds B
0,$66,$66,1,1,<37>,9,0,0,E. Road Connector C
0,$67,$67,1,1,<38>,9,0,0,Dungeon A
0,$68,$68,1,1,<39>,9,0,0,Desert Quicksand Level
0,$69,$69,1,1,<40>,9,0,0,Desert Pyramid Level
0,$6A,$6A,1,1,<147>,9,0,0,Weird
0,$6B,$6B,1,1,<122>,9,0,0,Blank Square
0,$6C,$6C,1,1,<122>,9,0,0,Blank Square
0,$6D,$6D,1,1,<122>,9,0,0,Blank Square
0,$6E,$6E,1,1,<122>,9,0,0,Blank Square
0,$6F,$6F,1,1,<122>,9,0,0,Blank Square
0,$70,$70,1,1,<122>,9,0,0,Blank Square
0,$71,$71,1,1,<122>,9,0,0,Blank Square
0,$72,$72,1,1,<122>,9,0,0,Blank Square
0,$73,$73,1,1,<122>,9,0,0,Blank Square
0,$74,$74,1,1,<122>,9,0,0,Blank Square
0,$75,$75,1,1,<122>,9,0,0,Blank Square
0,$76,$76,1,1,<122>,9,0,0,Blank Square
0,$77,$77,1,1,<122>,9,0,0,Blank Square
0,$78,$78,1,1,<122>,9,0,0,Blank Square
0,$79,$79,1,1,<122>,9,0,0,Blank Square
0,$7A,$7A,1,1,<122>,9,0,0,Blank Square
0,$7B,$7B,1,1,<122>,9,0,0,Blank Square
0,$7C,$7C,1,1,<122>,9,0,0,Blank Square
0,$7D,$7D,1,1,<122>,9,0,0,Blank Square
0,$7E,$7E,1,1,<122>,9,0,0,Blank Square
0,$7F,$7F,1,1,<122>,9,0,0,Blank Square
0,$80,$80,1,1,<41>,9,0,0,Green Mario Finished Stage
0,$81,$81,1,1,<42>,9,0,0,Green Luigi Finished Stage
0,$82,$82,1,1,<43>,9,0,0,Water 1
0,$83,$83,1,1,<44>,9,0,0,Water 2
0,$84,$84,1,1,<45>,9,0,0,Water 3
0,$85,$85,1,1,<48>,9,0,0,Water 4
0,$86,$86,1,1,<49>,9,0,0,Water 5
0,$87,$87,1,1,<50>,9,0,0,Water 6
0,$88,$88,1,1,<51>,9,0,0,Water 7
0,$89,$89,1,1,<52>,9,0,0,Water 8
0,$8A,$8A,1,1,<53>,9,0,0,Water 9
0,$8B,$8B,1,1,<54>,9,0,0,Water 10
0,$8C,$8C,1,1,<55>,9,0,0,Water 11
0,$8D,$8D,1,1,<56>,9,0,0,Water 12
0,$8E,$8E,1,1,<57>,9,0,0,Water 13
0,$8F,$8F,1,1,<58>,9,0,0,Water 14
0,$90,$90,1,1,<59>,9,0,0,Water 15
0,$91,$91,1,1,<60>,9,0,0,Water 16
0,$92,$92,1,1,<61>,9,0,0,Water 17
0,$93,$93,1,1,<64>,9,0,0,Water 18
0,$94,$94,1,1,<65>,9,0,0,Water 19
0,$95,$95,1,1,<66>,9,0,0,Water 20
0,$96,$96,1,1,<67>,9,0,0,Water 21
0,$97,$97,1,1,<68>,9,0,0,Water 22
0,$98,$98,1,1,<69>,9,0,0,Water 23
0,$99,$99,1,1,<70>,9,0,0,Water 24
0,$9A,$9A,1,1,<71>,9,0,0,Water 25
0,$9B,$9B,1,1,<72>,9,0,0,Water 26
0,$9C,$9C,1,1,<73>,9,0,0,Water 27
0,$9D,$9D,1,1,<74>,9,0,0,Water 28
0,$9E,$9E,1,1,<75>,9,0,0,Water 29
0,$9F,$9F,1,1,<76>,9,0,0,Water 30
0,$A0,$A0,1,1,<77>,9,0,0,Water 31
0,$A1,$A1,1,1,<80>,9,0,0,Water 32
0,$A2,$A2,1,1,<81>,9,0,0,Water 33
0,$A3,$A3,1,1,<82>,9,0,0,Water 34
0,$A4,$A4,1,1,<83>,9,0,0,Water 35
0,$A5,$A5,1,1,<84>,9,0,0,Water 36
0,$A6,$A6,1,1,<85>,9,0,0,Water 37
0,$A7,$A7,1,1,<86>,9,0,0,Water 38
0,$A8,$A8,1,1,<87>,9,0,0,Water 39
0,$A9,$A9,1,1,<88>,9,0,0,Water 40
0,$AA,$AA,1,1,<89>,9,0,0,N. End of Road over Water
0,$AB,$AB,1,1,<90>,9,0,0,S. End of Road over Water
0,$AC,$AC,1,1,<91>,9,0,0,E.-W. Road over Water
0,$AD,$AD,1,1,<92>,9,0,0,Island
0,$AE,$AE,1,1,<93>,9,0,0,E. Road Connector over Water
0,$AF,$AF,1,1,<96>,9,0,0,S. E. Road Connector over Water
0,$B0,$B0,1,1,<97>,9,0,0,N.-S. Road over Water
0,$B1,$B1,1,1,<98>,9,0,0,N.-S. Drawbridge
0,$B2,$B2,1,1,<99>,9,0,0,E.-W. Drawbridge
0,$B3,$B3,1,1,<100>,9,0,0,Bridge
0,$B4,$B4,1,1,<101>,9,0,0,Hills
0,$B5,$B5,1,1,<102>,9,0,0,S. Road Connector over Water
0,$B6,$B6,1,1,<103>,9,0,0,W. Road Connector over Water
0,$B7,$B7,1,1,<104>,9,0,0,W. End of Road over Water
0,$B8,$B8,1,1,<105>,9,0,0,E. End of Road over Water
0,$B9,$B9,1,1,<106>,9,0,0,Road over N.-S. River
0,$BA,$BA,1,1,<107>,9,0,0,Road over E.-W. River
0,$BB,$BB,1,1,<108>,9,0,0,Palm Tree
0,$BC,$BC,1,1,<109>,9,0,0,Pipe
0,$BD,$BD,1,1,<112>,9,0,0,Flower
0,$BE,$BE,1,1,<113>,9,0,0,Piranha Plant
0,$BF,$BF,1,1,<114>,9,0,0,Pond
0,$C0,$C0,1,1,<115>,9,0,0,Red Mario Finished Stage
0,$C1,$C1,1,1,<116>,9,0,0,Red Luigi Finished Stage
0,$C2,$C2,1,1,<148>,9,0,0,World 5 - Clouds A
0,$C3,$C3,1,1,<149>,9,0,0,World 5 - Clouds B
0,$C4,$C4,1,1,<150>,9,0,0,World 5 - Clouds C
0,$C5,$C5,1,1,<151>,9,0,0,World 5 - Clouds D
0,$C6,$C6,1,1,<152>,9,0,0,World 5 - Clouds E
0,$C7,$C7,1,1,<153>,9,0,0,World 5 - Clouds F
0,$C8,$C8,1,1,<117>,9,0,0,Castle Top
0,$C9,$C9,1,1,<118>,9,0,0,Castle Bottom
0,$CA,$CA,1,1,<126>,9,0,0,World 8 - Top Left of Bowser's Castle
0,$CB,$CB,1,1,<127>,9,0,0,World 8 - Top Right of Bowser's Castle
0,$CC,$CC,1,1,<142>,9,0,0,World 8 - Bottom Left of Bowser's Castle
0,$CD,$CD,1,1,<143>,9,0,0,World 8 - Bottom Right of Bowser's Castle
0,$CE,$CE,1,1,<154>,9,0,0,World 5 - Clouds G
0,$CF,$CF,1,1,<155>,9,0,0,World 5 - Clouds H
0,$D0,$D0,1,1,<156>,9,0,0,World 5 - Clouds I
0,$D1,$D1,1,1,<119>,9,0,0,Fire
0,$D2,$D2,1,1,<157>,9,0,0,World 5 - Clouds J
0,$D3,$D3,1,1,<158>,9,0,0,World 5 - Clouds K
0,$D4,$D4,1,1,<159>,9,0,0,World 5 - Clouds L
0,$D5,$D5,1,1,<170>,9,0,0,Weird
0,$D6,$D6,1,1,<120>,9,0,0,Red Square
0,$D7,$D7,1,1,<121>,9,0,0,Plain Ground
0,$D8,$D8,1,1,<122>,9,0,0,Black Square
0,$D9,$D9,1,1,<123>,9,0,0,W. Road Connector B
0,$DA,$DA,1,1,<124>,9,0,0,E.-W. Road B
0,$DB,$DB,1,1,<125>,9,0,0,N.-S. Road B
0,$DC,$DC,1,1,<128>,9,0,0,E. Road Connector B
0,$DD,$DD,1,1,<129>,9,0,0,S. Road Connector B
0,$DE,$DE,1,1,<130>,9,0,0,S. E. Road Connector B
0,$DF,$DF,1,1,<14>,9,0,0,Weird Tower
0,$E0,$E0,1,1,<131>,9,0,0,Mushroom House B
0,$E1,$E1,1,1,<144>,9,0,0,World 8 - Mushroom
0,$E2,$E2,1,1,<132>,9,0,0,Skull
0,$E3,$E3,1,1,<160>,9,0,0,Destroyed Dungeon B
0,$E4,$E4,1,1,<133>,9,0,0,Locked Door C
0,$E5,$E5,1,1,<134>,9,0,0,Start
0,$E6,$E6,1,1,<135>,9,0,0,Hand Trap
0,$E7,$E7,1,1,<136>,9,0,0,Weird Line
0,$E8,$E8,1,1,<137>,9,0,0,Spade House
0,$E9,$E9,1,1,<145>,9,0,0,Star B
0,$EA,$EA,1,1,<146>,9,0,0,Ice
0,$EB,$EB,1,1,<138>,9,0,0,Dungeon B
0,$EC,$FF,1,1,<122>,9,0,0,Blank Square

0,$00,$00,5,4,<149,40,41,149,149,40,43,39,40,41,38,42,43,44,39,38,44,44,44,39>,9,0,0,Background Hills A
0,$01,$01,4,3,<149,40,41,149,149,38,42,41,40,43,44,39>,9,0,0,Background Hills B
0,$02,$02,6,8,<149,149,40,41,149,149,149,149,38,42,41,149,149,149,38,44,39,149,149,40,43,44,39,149,40,43,44,44,39,149,38,44,44,44,39,149,38,44,44,44,42,41,38,44,44,44,44,39>,9,0,0,Background Hills C
0,$03,$03,3,1,<187,188,189>,9,0,0,White Mushrooms;; Flowers and Stars
0,$04,$04,1,2,<45,151>,9,0,0,Door (CAN go in)
0,$05,$05,1,2,<46,152>,9,0,0,Door (CAN'T go in)
0,$06,$06,1,1,<148>,9,0,0,Weird Vine
0,$07,$07,1,1,<47>,9,0,0,Small Background Cloud
0,$08,$08,1,1,<146>,9,0,0,MSG_NOTHING
0,$09,$09,1,1,<146>,9,0,0,MSG_NOTHING
0,$0A,$0A,1,1,<146>,9,0,0,MSG_NOTHING
0,$0B,$0B,1,1,<146>,9,0,0,MSG_NOTHING
0,$0C,$0C,1,1,<146>,9,0,0,MSG_NOTHING
0,$0D,$0D,1,1,<146>,9,0,0,MSG_NOTHING
0,$0E,$0E,1,1,<146>,9,0,0,MSG_NOTHING
0,$0F,$0F,1,1,<146>,9,0,0,MSG_NOTHING
0,$10,$1F,3,3,<54,55,56,51,52,53,48,49,50>,6,3,0,White Block Platform (Extends to ground)
0,$20,$2F,3,3,<63,64,65,60,61,62,57,58,59>,6,3,0,Orange Block Platform (Extends to ground)
0,$30,$3F,3,3,<72,73,74,69,70,71,66,67,68>,6,3,0,Green Block Platform (Extends to ground)
0,$40,$4F,3,3,<81,82,83,78,79,80,75,76,77>,6,3,0,Blue Block Platform (Extends to ground)
0,$50,$5F,3,2,<54,55,56,48,49,50>,7,3,0,White Block Platform (Floating)
0,$60,$6F,3,2,<63,64,65,57,58,59>,7,3,0,Orange Block Platform (Floating)
0,$70,$7F,3,2,<72,73,74,66,67,68>,7,3,0,Green Block Platform (Floating)
0,$80,$8F,3,2,<81,82,83,75,76,77>,7,3,0,Blue Block Platform (Floating)
0,$90,$9F,1,1,<89>,0,0,0,Background Bushes
0,$A0,$AF,3,1,<126,157,124>,0,3,0,Gap
0,$B0,$BF,1,1,<91>,0,0,0,Cloud Platform
0,$C0,$CF,3,2,<124,125,126,121,122,123>,0,3,1,Flat Ground
